e,p,n,act,mkt,beyond,z,roi,lo,hi,odds,blocksBeyondPos,winN,winBeyond,winRoi,preN,preBeyond,preRoi
10,53,258,42.6,41.4,1.2,0.4,12,-6.4,30.4,2.54,2,76,-4.2,-2.6,182,3.5,18.1
10,54,238,43.7,41.9,1.8,0.56,13.6,-5.6,32.8,2.49,2,68,-3.5,-1.1,170,3.9,19.5
10,55,222,44.6,42.3,2.3,0.7,16,-4.1,36.1,2.48,2,63,-4,-0.9,159,4.8,22.7
10,56,207,44.4,42.7,1.7,0.5,12.4,-7.7,32.5,2.44,2,59,-5.2,-4.5,148,4.5,19.2
10,57,194,44.3,43,1.3,0.37,9.4,-10.3,29.2,2.41,2,54,-5.6,-4.5,140,4,14.8
10,58,174,43.7,43.6,0.1,0.03,8,-13.2,29.1,2.4,2,47,-5.2,-0.8,127,2.1,11.2
10,59,155,44.5,44.2,0.3,0.09,8.1,-14.1,30.3,2.36,2,39,-5.3,1.7,116,2.2,10.2
10,60,147,44.9,44.7,0.2,0.05,4.4,-16.9,25.7,2.3,2,37,-6.3,-8.1,110,2.4,8.6
10,61,131,45,45.3,-0.2,-0.05,1.7,-19.7,23.1,2.26,2,32,-0.6,6.3,99,-0.1,0.2
10,62,116,44.8,46,-1.1,-0.24,-1.7,-23.7,20.4,2.2,2,29,-3.7,-0.9,87,-0.3,-1.9
10,63,106,45.3,46.3,-1,-0.21,-0.7,-24,22.6,2.19,2,27,-0.7,6.4,79,-1.1,-3.1
10,64,88,47.7,47.4,0.3,0.06,2.6,-23.1,28.3,2.15,2,22,-5.5,-1.2,66,2.2,3.9
10,65,78,51.3,47.9,3.4,0.61,10.2,-17.5,37.9,2.13,2,21,-3.7,3.5,57,6,12.7
11,35,434,37.8,35,2.8,1.23,17.4,-0.5,35.4,3.14,3,138,4.3,31.3,296,2.1,11
11,36,434,37.8,35,2.8,1.23,17.4,-0.5,35.4,3.14,3,138,4.3,31.3,296,2.1,11
11,37,428,37.9,35.2,2.7,1.16,16.9,-1.1,35,3.12,3,136,4,30,292,2.1,10.8
11,38,417,38.8,35.6,3.3,1.4,20,1.6,38.4,3.07,4,131,4.8,34.9,286,2.6,13.2
11,39,404,39.6,36,3.6,1.5,21.6,2.8,40.4,3.02,3,125,5.3,38.3,279,2.8,14.2
11,40,397,40.3,36.3,4,1.68,23.8,4.7,42.8,3,4,124,5.6,39.4,273,3.4,16.7
11,41,389,40.6,36.5,4.1,1.68,24.3,5.1,43.6,2.98,4,123,5.8,40.6,266,3.3,16.9
11,42,382,41.1,36.7,4.4,1.77,25.7,6.1,45.2,2.96,4,119,6,42.2,263,3.6,18.2
11,43,373,41.8,37,4.8,1.92,27.7,7.8,47.6,2.93,4,118,6.2,43.4,255,4.1,20.4
11,44,363,42.4,37.3,5.1,2.01,29.3,9,49.5,2.91,4,115,7,47.2,248,4.2,20.9
11,45,351,42.5,37.6,4.8,1.86,28.9,8.2,49.6,2.89,3,111,7.3,49.5,240,3.6,19.4
11,46,340,42.1,38,4,1.54,20.1,3.3,36.8,2.81,4,107,5.7,26.6,233,3.3,17.1
11,47,330,42.4,38.3,4.2,1.55,20.9,3.9,37.9,2.78,4,103,6,28.3,227,3.3,17.5
11,48,315,42.9,38.6,4.2,1.54,21.6,4.1,39,2.76,4,99,5.5,27.6,216,3.6,18.8
11,49,302,44,39,5.1,1.81,24.6,6.7,42.5,2.72,4,96,6.7,31.6,206,4.3,21.4
11,50,293,43.7,39.2,4.5,1.58,22.4,4.4,40.4,2.7,4,92,6.2,31.1,201,3.7,18.5
11,51,268,43.7,39.8,3.9,1.31,20.3,1.6,39,2.67,3,84,2.7,17.9,184,4.5,21.4
11,52,245,43.3,40.4,2.9,0.93,18,-1.5,37.5,2.61,2,73,-1.6,7.9,172,4.8,22.3
11,53,231,42.4,40.8,1.6,0.51,14.6,-5.4,34.6,2.59,2,67,-4.6,-1.3,164,4.2,21.1
11,54,216,43.5,41.2,2.3,0.68,16.2,-4.5,36.9,2.54,2,61,-3.4,1.3,155,4.5,22.1
11,55,203,44.3,41.6,2.7,0.79,18.5,-3.1,40,2.52,3,58,-3.4,2.3,145,5.2,25
11,56,189,44.4,42,2.4,0.68,15.4,-6.2,37,2.48,3,54,-4.7,-1.4,135,5.3,22.1
11,57,177,44.1,42.3,1.8,0.48,11.6,-9.6,32.8,2.46,3,50,-5.9,-3.1,127,4.8,17.4
11,58,159,44,42.8,1.2,0.31,11.7,-10.9,34.4,2.44,2,43,-5.5,1.2,116,3.7,15.7
11,59,142,44.4,43.4,1,0.24,10.8,-13.1,34.6,2.41,2,37,-7.7,-1.2,105,4,15
11,60,134,44.8,43.9,0.9,0.21,6.9,-16,29.8,2.35,2,35,-8.9,-11.7,99,4.3,13.5
11,61,119,44.5,44.4,0.1,0.02,3.4,-19.7,26.4,2.31,2,30,-3.3,3,89,1.2,3.5
11,62,105,43.8,45.1,-1.3,-0.27,-1.1,-24.9,22.7,2.24,2,27,-6.8,-5.1,78,0.6,0.3
11,63,95,44.2,45.4,-1.2,-0.23,0.1,-25.3,25.4,2.24,2,25,-3.9,2.5,70,-0.2,-0.8
11,64,78,46.2,46.5,-0.3,-0.06,2.7,-25.5,30.9,2.19,2,20,-9.9,-6.9,58,3,6
11,65,70,50,46.9,3.1,0.51,11,-19.2,41.2,2.18,3,19,-8.1,-2,51,7.2,15.9
12,35,341,37.8,34.6,3.2,1.24,22.9,1.2,44.5,3.22,4,111,3.5,35,230,3,17
12,36,341,37.8,34.6,3.2,1.24,22.9,1.2,44.5,3.22,4,111,3.5,35,230,3,17
12,37,336,37.8,34.9,2.9,1.13,21.9,0.2,43.7,3.2,3,109,3,33.4,227,2.9,16.4
12,38,329,38.6,35.2,3.4,1.29,24.5,2.4,46.7,3.16,3,105,3.8,38.5,224,3.2,18
12,39,319,39.5,35.7,3.8,1.43,26.8,4.2,49.4,3.11,4,102,4.5,42.6,217,3.5,19.4
12,40,314,40.1,35.9,4.2,1.56,28.8,5.9,51.7,3.08,4,101,4.8,44,213,4,21.7
12,41,309,40.5,36.1,4.3,1.59,29.6,6.5,52.8,3.06,4,100,5.1,45.4,209,4,22.1
12,42,303,40.9,36.3,4.6,1.66,31,7.5,54.5,3.04,4,97,4.9,46.2,206,4.4,23.9
12,43,295,41.7,36.7,5,1.79,33.2,9.3,57.2,3.02,4,96,5.3,47.7,199,4.9,26.3
12,44,290,42.1,36.9,5.2,1.82,34.3,10,58.5,3,4,93,6.1,52.5,197,4.7,25.7
12,45,281,42.3,37.2,5.1,1.78,34.9,10.1,59.7,2.98,4,89,6.5,55.5,192,4.5,25.4
